Invoice Date,Invoicing month,Quarter,PO Number- Sales,Retailer Name,Supplier Onboarding Date,Supplier Onboarding Quarter,Commodity Name,Category Mix,Loading State,Customer Name,Customer Type,Buyer Onboarding Date,Buyer Onboarding Quarter,Unloading State,Geography Mix,Qty. Bought,Qty Price,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Qty Sold,Selling Price,Invoice Value,Credit note qty,Credit note value,Gross invoice,Cash discount,Bardana,Quality,Net Invoice Value,Difference,Rejections (Yes/No),Quantity Sold,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Total inventory,COGS for GM,GM,CM-I,CM-II,cm2 %,GM +ve Transactions,CM-I +ve Transactions,CM-II +ve Transactions,
44327,May-21,"Q1, FY 22",1#4,Guru Kripa Beej Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shamina Trading Company,SME,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 254.30 ,1823.035177,463597.8456,0,26913.86646,436683.9791,9618.28454,3125.942476,9597.485,414342.2671,4.1,,250.2,412409.66,408285.5634,4124.0966,14885,10507,12750,0,0,450551.66, -   ," 4,08,286 ",28398.41571,-12869.52677,-36209.39, (8.3%),1,0,0,
44320,May-21,"Q1, FY 22",3#1,One Stop Shop Agri Junction,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 252.50 ,1843.989605,465607.3751,0,11299.67493,454307.7002,9351.515152,3039.242424,9331.2925,432585.6501,2.3,,250.2,422838,418609.62,4228.38,12927,10563,16095,0,0,462423, -   ," 4,18,610 ",35698.08021,-6926.162218,-29837.35, (6.6%),1,0,0,
44320,May-21,"Q1, FY 22",3#3,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 250.50 ,1843.989605,461919.3959,0,11295.06496,450624.331,9279.108372,3015.710221,9259.0423,429070.4701,1.04,,249.46,412409.77,408285.6723,4124.0977,14885,10507,13750,0,0,451551.77, -   ," 4,08,286 ",42338.65867,180.9484508,-22481.30, (5.0%),1,1,0,
44319,May-21,"Q1, FY 22",1#10,KISHAN KHAD BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Bihar,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 243.80 ,2053.533878,500651.5594,0,84618.33606,416033.2233,11476.36692,3729.81925,11451.54928,389375.4879,4.85,no,238.95,403825.5,399787.245,4038.255,11200,10095,51970,0,0,477090.5, -   ," 3,99,787 ",16245.97834,-60748.84091,-87715.01, (21.1%),1,0,0,
44320,May-21,"Q1, FY 22",5#1,MAA SHARDHA KRISHI SEWA KENDRA,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 250.77 ,2157.429804,541014.642,0,0,541014.642,10608.69971,3447.827405,10579.65672,516378.4582,2.27813203,,248.49,431873.14,427554.4086,4318.7314,15588,11003,22000,0,0,480464.14, -   ," 4,27,554 ",113460.2334,61421.40603,35914.32, 6.6% ,1,1,1,
44320,May-21,"Q1, FY 22",5#2,SHRI DURGA TRADER,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 248.71 ,2157.429804,536573.1359,-2.25942951,25225.27435,511347.8615,11017.60688,3558.032596,10986.78611,485785.4359,0,,246.45,410915.94,406806.7806,4109.1594,14831,10469,28250,0,0,464465.94, -   ," 4,06,807 ",104541.0809,47433.04832,21319.50, 4.2% ,1,1,1,
44320,May-21,"Q1, FY 22",5#5,Samriddhi Beej Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 256.93 ,2157.429804,554317.3885,-2.334147913,24995.38185,529322.0066,11361.08936,3668.914066,11329.29448,502962.7087,0,,254.6,414911.44,410762.3256,4149.1144,14976,10571,25750,0,0,466208.44, -   ," 4,10,762 ",118559.681,63593.76696,36754.27, 6.9% ,1,1,1,
44320,May-21,"Q1, FY 22",5#6,SHRI DURGA TRADER,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 274.29 ,2157.429804,591765.3817,-2.491835832,31018.33819,560747.0435,12213.60068,3944.396712,12179.47405,532409.5721,0,,271.8,453183.01,448651.1799,4531.8301,16357,11546,29821,0,0,510907.01, -   ," 4,48,651 ",112095.8636,50427.46692,21502.56, 3.8% ,1,1,1,
44320,May-21,"Q1, FY 22",5#3,IRFAN TRENDING COMPANY,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 269.30 ,2157.429804,580988.1976,-2.446454716,25384.5117,555603.6859,11891.7727,3840.258343,11858.48251,528013.1724,0,,266.85,434965.5,430615.845,4349.655,12960,10874,29993,0,0,488792.5, -   ," 4,30,616 ",124987.8409,67320.58258,39220.67, 7.1% ,1,1,1,
44320,May-21,"Q1, FY 22",6#1,One Stop Shop Agri Junction,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 255.50 ,1906.852886,487200.9125,0,165606.9776,321593.9349,12800.69748,4160.226682,12773.01598,291859.9947,5.3,no,250.2,422838,418609.62,4228.38,14145,8456,10950,0,0,456389, -   ," 4,18,610 ",-97015.68514,-134726.9118,-164529.01, (51.2%),0,0,0,
44324,May-21,"Q1, FY 22",7#2-2,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Bhawani Roller Flour Mills Pvt. Ltd.,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 253.70 ,1927.807314,489084.7155,0,69382.20431,419702.5112,10950.7961,3559.008731,10927.115,394265.5914,3.13,no,250.57,408344,404260.56,4083.44,14739,10404,44261.53144,0,0,477748.5314, -   ," 4,04,261 ",15441.9512,-57521.58897,-83482.94, (19.9%),1,0,0,
44321,May-21,"Q1, FY 22",7#2-1,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Bhawani Roller Flour Mills Pvt. Ltd.,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 502.40 ,1990.670596,1000112.907,-251.2,515847.7101,484265.1972,29725.97843,9660.942989,29661.696,415216.5798,-2.07,,253.27,412744,408616.56,4127.44,14897,10516,44738.46856,0,0,482895.4686, -   ," 4,08,617 ",75648.63723,-4163.77432,-67678.89, (14.0%),1,0,0,
44325,May-21,"Q1, FY 22",PA0012-1,Anuj Khad Bhandar Retailer,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Bhawani Roller Flour Mills Pvt. Ltd.,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 252.15 ,1927.807314,486096.6142,0,24670.90455,461425.7096,10015.47406,3255.02907,9993.8156,438161.3909,1.95,,250.2,420336,416132.64,4203.36,7132,10500,29200.75053,0,0,467168.7505, -   ," 4,16,133 ",45293.06962,-4794.709971,-29007.36, (6.3%),1,0,0,
44323,May-21,"Q1, FY 22",1#9,Kisaan Beej Center,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 250.85 ,2053.533878,515128.9732,0,25722.16722,489406.806,10605.37401,3446.746554,10582.43989,464772.2456,5,,245.85,408111,404029.89,4081.11,12890,10202,43900,0,0,475103, -   ," 4,04,030 ",85376.91602,14938.16946,-10330.75, (2.1%),1,1,0,
44338,May-21,"Q1, FY 22",PA0013,ANAND TRADING COMPANY,May-21,"Q1, FY 22",Wheat,Wheat,Madhya Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 293.40 ,1896.375673,556396.6224,0,0,556396.6224,10910.20031,3545.8151,10886.607,531054,0.63,,292.77,477115,472343.85,4771.15,17221,12156,43100,0,0,549592, -   ," 4,72,344 ",84052.77241,8029.957308,-18538.00, (3.3%),1,1,0,
44326,May-21,"Q1, FY 22",PA0012-2,Anuj Khad Bhandar Retailer,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Bhawani Roller Flour Mills Pvt. Ltd.,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 508.40 ,1983.336546,1008328.3,-254.2,516681.6963,491646.6038,29903.42476,9718.613046,29838.7586,422185.8074,2.085,,252.115,423553.2,419317.668,4235.532,7712,10500,29424.24947,0,0,471189.4495, -   ," 4,19,318 ",72328.9358,14974.07328,-49003.64, (10.0%),1,1,0,
44323,May-21,"Q1, FY 22",PA0015,Lohare Singh Trading Company,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 235.90 ,2032.57945,479485.4924,0,0,479485.4924,9402.074987,3055.674371,9381.743,457646,1.175,,234.725,410768.75,406661.0625,4107.6875,6604,10269,24000,0,0,451641.75, -   ," 4,06,661 ",72824.42986,28895.75549,6004.25, 1.3% ,1,1,1,
44328,May-21,"Q1, FY 22",PA0017,IRFAN TRENDING COMPANY,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shree Balaji Food Products,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 279.80 ,1896.375673,530605.9133,0,14110.71136,516495.2019,10681.17103,3471.380586,10658.073,491684.5773,5.59,,274.21,449704.4,445207.356,4497.044,12824,11242,31778,0,0,505548.4, -   ," 4,45,207 ",71287.8459,11972.46531,-13863.82, (2.7%),1,1,0,
44329,May-21,"Q1, FY 22",1#1,Rajeev Retailer New,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shree Balaji Food Products,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 232.70 ,1896.375673,441286.6191,0,12851.35028,428435.2688,8905.043657,2894.139188,8885.7865,407750.2994,4.65,,228.05,378563,374777.37,3785.63,11549,9464,29500,0,0,429076, -   ," 3,74,777 ",53657.89879,250.7596012,-21325.70, (5.0%),1,1,0,
44338,May-21,"Q1, FY 22",PA0019,ANAND TRADING COMPANY,May-21,"Q1, FY 22",Wheat,Wheat,Madhya Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 255.10 ,1843.989605,470401.7481,0,29366.58217,441035.1659,9799.794556,3184.933231,9778.6025,418271.8357,3.41,,251.69,410168,406066.32,4101.68,14804,10450,23000,0,0,458422, -   ," 4,06,066 ",34968.84594,-16470.08729,-40150.16, (9.1%),1,0,0,
44335,May-21,"Q1, FY 22",PA0027,AKHIL JAIVIK KHAD BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Victoria Foods Pvt. Ltd.,SME,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 596.10 ,1944.832795,1159314.829,-298.05,585511.3638,573803.4652,34213.72902,11119.46193,34139.74183,494330.5324,-1.43,no,299.48,533143,527811.57,5331.43,12125,13408,21000,0,0,579676, -   ," 5,27,812 ",45991.89519,-11660.56674,-85345.47, (14.9%),1,0,0,
44338,May-21,"Q1, FY 22",PA0022,Samriddhi Beej Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 230.95 ,2100.681339,485152.3553,0,20670.70438,464481.6509,9918.519774,3223.518927,9897.070975,441442.5412,0,,230.95,376370,372606.3,3763.7,13584,9589,62500,0,0,462043, -   ," 3,72,606 ",91875.35092,2978.831993,-20600.46, (4.4%),1,1,0,
44326,May-21,"Q1, FY 22",7#1-2,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Bhawani Roller Flour Mills Pvt. Ltd.,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 611.00 ,1993.911501,1218279.927,-306,652573.2529,565706.6745,36684.95121,11922.60914,36605.62,480493.4941,-1.1,,306.1,524790,519542.1,5247.9,18941,13370,0,0,0,557101, -   ," 5,19,542 ",46164.57447,1930.965326,-76607.51, (13.5%),1,1,0,
44340,May-21,"Q1, FY 22",PA0024,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 299.90 ,2100.681339,629994.3336,0,26846.70752,603147.6261,12879.78223,4185.929224,12851.9297,573229.985,3.21,,296.69,488534,483648.66,4885.34,17633,12447,78977,0,0,597591, -   ," 4,83,649 ",119498.9661,6256.036898,-24361.02, (4.0%),1,1,0,
44338,May-21,"Q1, FY 22",1#7,SUNIL KHAD BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Jharkhand,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 253.00 ,1896.375673,479783.0452,0,6352.334643,473430.7106,9532.470467,3098.052902,9511.8565,451288.3307,6.05,,246.95,408702.25,404615.2275,4087.0225,14508,10217,16250,0,0,449677.25, -   ," 4,04,615 ",68815.48308,24742.43018,1611.08, 0.3% ,1,1,1,
44339,May-21,"Q1, FY 22",PA0033,VAHID KHAD BEEJ BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Victoria Foods Pvt. Ltd.,SME,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 537.30 ,1944.832796,1044958.661,-268.65,527759.3905,517199.2707,30838.91649,10022.64786,30772.22733,445565.479,0.05,no,268.6,464538,459892.62,4645.38,32700,12227,16552,0,0,526017, -   ," 4,59,893 ",57306.65066,-14194.9972,-80451.52, (15.6%),1,0,0,
44340,May-21,"Q1, FY 22",PA0023,Shukla Khad Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shree Balaji Food Products,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 255.45 ,1933.045921,493796.5804,0,12482.81429,481313.7661,9927.467899,3226.427067,9905.99975,458253.8714,5,,250.45,425765,421507.35,4257.65,14065,10644,19900,0,0,470374, -   ," 4,21,507 ",59806.41614,11970.98907,-12120.13, (2.5%),1,1,0,
44345,May-21,"Q1, FY 22",PA0034,Samriddhi Beej Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 142.61 ,2084.965519,297332.3386,0,3902.113291,293430.2253,5906.808341,1919.712711,5894.034868,279709.6694,1.90779661,,140.7,238930,236540.7,2389.3,500,5888,62000,0,0,307318, -   ," 2,36,541 ",56889.52535,-13418.18737,-27608.33, (9.4%),1,0,0,
44341,May-21,"Q1, FY 22",PA0029,One Stop Shop Agri Junction,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 257.00 ,1896.375673,487368.5479,0,0,487368.5479,9556.651258,3105.911659,9535.985,465170,6.104,,250.896,416487.36,412322.4864,4164.8736,15829,10500,13750,0,0,456566.36, -   ," 4,12,322 ",75046.06152,31861.14986,8603.64, 1.8% ,1,1,1,
44344,May-21,"Q1, FY 22",PA0025,AGRIJUCTION TARIBADAGAOV BALLIA,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 295.30 ,2084.965519,615690.3177,0,8131.365523,607558.9522,12232.31638,3975.502825,12205.864,579145.269,2.9,,292.4,482021,477200.79,4820.21,17398,12281,92920,0,0,604620, -   ," 4,77,201 ",130358.1622,3783.659338,-25474.73, (4.2%),1,1,0,
44340,May-21,"Q1, FY 22",PA0031,AKHIL JAIVIK KHAD BHANDAR,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shree Balaji Food Products,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 277.30 ,1933.045921,536033.6338,0,15744.63283,520289.001,10819.64047,3516.383154,10796.243,495156.7343,2.767,,274.533,481014,476203.86,4810.14,17361,12255,13015,0,0,523645, -   ," 4,76,204 ",44085.14096,-2062.242189,-28488.27, (5.5%),1,0,0,
44347,May-21,"Q1, FY 22",PA0032,Shanker Beez Bhandar,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,BPC Technologies India Pvt. Ltd.,SME,May-21,"Q1, FY 22",Telangana,Telangana,,,,,,,,,,,, 304.80 ,2084.965519,635497.4901,0,11394.07279,624103.4173,12685.88134,4103.059065,12657.6225,594656.8544,2.97,,301.83,498988,493998.12,4989.88,18010,12713,70104,0,0,599815, -   ," 4,93,998 ",130105.2973,25175.23826,-5158.15, (0.8%),1,1,0,
44342,May-21,"Q1, FY 22",5#4,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 379.52 ,1970.893972,747993.6801,-191,382013.0819,365980.5982,22157.93487,7201.328834,22110.01834,314511.3161,-1.91,,190.43,325151,321899.49,3251.51,11816,8341,11520,0,0,356828, -   ," 3,21,899 ",44081.10815,5202.779316,-42316.68, (11.6%),1,1,0,
44344,May-21,"Q1, FY 22",PA0026,Kendriya Upbhokta Bhandar Retailer,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Shree Balaji Food Products,Processors,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 251.55 ,1912.091493,480986.6151,0,27769.06902,453217.5461,9976.024653,3242.208012,9954.4515,430044.862,0,no,251.55,407571,403495.29,4075.71,14711,10384,57500,0,0,490166, -   ," 4,03,495 ",49722.25613,-36114.95189,-60121.14, (13.3%),1,0,0,
44343,May-21,"Q1, FY 22",PA0035,AGRI JUNCTION KENDRA,May-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Ganga Roller Flour Mills P Ltd.,Processors,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 600.77 ,1970.894112,1184054.055,-302.35,604665.1877,579388.8678,35074.41356,11399.18441,34998.56514,497916.7047,-2.25,,300.67,515480,510325.2,5154.8,18605,13133,18180,0,0,565398, -   ," 5,10,325 ",69063.66779,7746.483383,-67481.30, (11.6%),1,1,0,
44347,May-21,"Q1, FY 22",10#2,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Gangaram Harprasad,SME,May-21,"Q1, FY 22",Delhi,Delhi,,,,,,,,,,,, 188.40 ,1948.761741,367146.712,0,16020.70741,351126.0046,7513.405239,2441.856703,7497.1575,333673.5852,1.93,,186.47,319691,316494.09,3196.91,11539,8145,11280,0,0,350655, -   ," 3,16,494 ",34631.91462,1226.057918,-16981.41, (4.8%),1,1,0,
44344,May-21,"Q1, FY 22",10#3,SHRI TIRUPATI BALAJI TRADING,May-21,"Q1, FY 22",Maize,Maize,Uttar Pradesh,Jagannath Prasad & Company,SME,May-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 661.75 ,1608.173579,1064208.866,-332.25,558980.1697,505228.6964,15986.61413,10391.29919,24527.6226,454323.1605,-1.75,no,331.25,449334,444840.66,4493.34,16218,11448,57960,0,0,534960, -   ," 4,44,841 ",60388.03645,-35629.26274,-80636.84, (16.0%),1,0,0,
